track,tot_sales
Bowels Of The Devil,2
Boris The Spider,2
Blue Rythm Fantasy,2
Black Dog,2
Binky The Doormat,2
Big Wave,2
Better Than You,2
Bem Devagar,2
Believe,2
Beira Mar,2
Before You Accuse Me,2
Beautiful Boy,2
Battery,2
Basket Case,2
Banditismo Por Uma Questa,2
Balls to the Wall,2
Babylon,2
Açai,2
Azul,2
As Rosas Não Falam (Beth Carvalho),2
Animal,2
Ando Meio Desligado,2
Amor De Muito,2
All I Want Is You,2
All Along The Watchtower,2
Afraid To Shoot Strangers,2
Aces High,2
Acelerou,2
"Abraham, Martin And John",2
A Novidade (Live),2
A Melhor Forma,2
A Cor Do Sol,2
Óculos,1
"Étude 1, In C Major - Preludio (Presto) - Liszt",1
É Fogo,1
Água de Beber,1
Água E Fogo,1
Às Vezes,1
[Untitled],1
[Just Like] Starting Over,1
Zé Trindade,1
Zooropa,1
Zither,1
Zeca Violeiro,1
Zambação,1
Your Time Has Come,1
Your Blue Room,1
You've Been A Long Time Coming,1
You're Gonna Break My Hart Again,1
You Sure Love To Ball,1
You Shook Me(2),1
You Shook Me,1
You Really Got Me,1
You Oughta Know,1
You Learn,1
You Know I'm No Good (feat. Ghostface Killah),1
You Know I'm No Good,1
You Keep On Moving,1
You Fool No One,1
You Could Be Mine,1
You Can't Do it Right (With the One You Love),1
You Are The Everything,1
You Ain't the First,1
Yesterdays,1
Yesterday To Tomorrow,1
Yahweh,1
Xote Dos Milagres,1
Xanadu,1
X-9 2001,1
Wrote A Song For Everyone,1
World Wide Suicide,1
Woodpecker From Mars,1
Wonderful Tonight,1
Won't Get Fooled Again (Full Length Version),1
Women In Uniform,1
With Or Without You,1
Winterlong,1
Wildest Dreams,1
Wild Side,1
Wild Hearted Son,1
Why Go,1
Whole Lotta Love (Medley),1
Whole Lotta Love,1
Who'll Stop The Rain,1
Who Wants To Live Forever,1
Who Needs You,1
White Riot,1
White Feather,1
Whiplash,1
Wherever You May Go,1
Where The Wild Things Are,1
Where The River Goes,1
Where Have All The Good Times Gone?,1
When You Gonna Learn (Digeridoo),1
When The World Was Young,1
When The Levee Breaks,1
When Love & Hate Collide,1
When I Had Your Love,1
When Evening Falls,1
Whatever Gets You Thru the Night,1
What Now My Love,1
What It Takes,1
What Is And What Should Never Be,1
What If I Do?,1
Wet My Bed,1
Were Do We Go From Here,1
"Wellington's Victory or the Battle Symphony, Op.91: 2. Symphony of Triumph",1
Welcome to the Jungle,1
Wearing And Tearing,1
Wear You To The Ball,1
We're Gonna Groove,1
We Will Rock You,1
Wave (Os Cariocas),1
Waterhole (Expresso Bongo),1
Wasting Love,1
"War of the Gods, Pt. 2",1
War (The Process),1
Wanted Dread And Alive,1
Wall Of Denial,1
Walking Wounded,1
Walking On The Water,1
Walking Contradiction,1
Walking After You,1
Walkin' Blues,1
Walk To The Water,1
Walk On,1
Wake Up Dead Man,1
Wake Up Alone,1
Wake Up,1
Wake Me Up When September Ends,1
Waiting On A Sign,1
W.M.A.,1
Vôo Sobre o Horizonte,1
Vulcão Dub - Fui Eu,1
Vou Pra Ai,1
"Você Passa, Eu Acho Graça (Ao Vivo)",1
Você Fugiu,1
Você,1
Voce Nao Entende Nada - Cotidiano,1
Voce Inteira,1
Virginia Moon,1
Viradouro,1
Vida De Cachorro,1
Vida Boa,1
Vertigo,1
Verdade,1
Vavoom : Ted The Mechanic,1
Vamo Batê Lata,1
Valentino's,1
Vai Valer,1
Vai Passar,1
Up Around The Bend,1
Up An' Atom,1
Until We Fall,1
Until It Sleeps,1
Uns Dias,1
União Da Ilha,1
United Colours,1
Unfinished Business,1
Underwater Love,1
Under The Sun/Every Day Comes and Goes,1
Under Pressure,1
Under My Thumb,1
Unchained,1
Uma Brasileira,1
Um Satélite Na Cabeça,1
Um Passeio No Mundo Livre,1
Um Lugar ao Sol,1
Um Love,1
Um Jantar Pra Dois,1
Um Indio,1
Um Homem Chamado Alfredo,1
Um Dia Qualquer,1
"Um Amor, Um Lugar",1
Ugly In The Morning,1
Tyrant (Live),1
Two Steps Behind [Acoustic Version],1
Two Fanfares for Orchestra: II. Short Ride in a Fast Machine,1
Twentienth Century Fox,1
Turn The Page,1
Tuesday's Gone,1
Tudo Na Mais Santa Paz,1
Tudo Bem,1
Três Lados,1
Trupets Of Jericho,1
True Believers,1
Trocando Em Miúdos,1
TriboTchan,1
Travelling Riverside Blues,1
"Trash, Trampoline And The Party Girl",1
Transylvania,1
Trampled Under Foot,1
Tradição,1
Trac Trac,1
Top Top,1
Top O' The Morning To Ya,1
Too Young To Die,1
Tomorrow's Dream,1
Tommy Gun,1
Tombstone Shadow,1
Todo o Carnaval tem seu Fim,1
Todo Mundo Explica,1
Todo Amor Que Houver Nesta Vida,1
Todo Amor (Asas Da Liberdade),1
Toda Menina Baiana,1
To Tame A Land,1
To Live Is To Die,1
Time Is On My Side,1
Time,1
Tightrope,1
"Through the Looking Glass, Pt. 1",1
Through a Looking Glass,1
Through The Never,1
This Is The Place,1
This Is Radio Clash,1
Thinking 'Bout Tomorrow,1
Think About You,1
Thief In The Night,1
They're Red Hot,1
These Colours Don't Run,1
"There's No Place Like Home, Pt. 3",1
Theme From The Swan,1
The Zoo,1
The Zephyr Song,1
The Wrong Child,1
The Wind Cries Mary,1
The Whole Truth,1
The Wanderer,1
The Wake-Up Bomb,1
The Wait,1
The Unwritten Law,1
The Unforgettable Fire,1
The Unbeliever,1
The Tower,1
The Three Sunrises,1
The Thing That Should Not Be,1
The Sun Road,1
The Struggle Within,1
The Small Hours,1
The Show Must Go On,1
The Seeker,1
The River (Remix),1
The Right Thing,1
The Prophecy,1
The Power Of Equality,1
The Playboy Mansion,1
The Pilgrim,1
The Passage,1
The Pan Piper,1
The Outlaw Torn,1
The Other 48 Days,1
The Ocean,1
The Moth,1
The Morning After,1
The More I See,1
"The Messiah: Behold, I Tell You a Mystery... The Trumpet Shall Sound",1
The Memory Remains,1
The Meaning Of The Blues,1
The Man Behind the Curtain,1
The Magnificent Warriors,1
The Lost Warrior,1
The Long Patrol,1
The Long Con,1
"The Living Legend, Pt. 2",1
"The Living Legend, Pt. 1",1
The Lemon Song,1
The Last Remaining Light,1
The Job,1
The Invisible Man,1
The Initiation,1
The Ides Of March,1
The Hard Part,1
The Hand of God,1
"The Gun On Ice Planet Zero, Pt. 2",1
"The Gun On Ice Planet Zero, Pt. 1",1
The Great Gig In The Sky,1
The God That Failed,1
The Glass Ballerina,1
The Gentle Art Of Making Enemies,1
The Fugitive,1
The Frayed Ends Of Sanity,1
The Four Horsemen,1
The Fly,1
The First Time,1
The Finest Worksong,1
The Educated Fool,1
The Economist,1
The Dundies,1
The Deeper The Love,1
The Day I Tried To Live,1
The Cut Runs Deep,1
The Crystal Ship,1
The Crunge,1
The Coup,1
The Convict,1
The Convention,1
The Carpet,1
The Call Of Ktulu,1
The Beginning...At Last,1
The Beginning of the End,1
The Begining... At Last,1
The Battle Rages On,1
The Assassin,1
The Angel And The Gambler,1
The Alchemist,1
The 23rd Psalm,1
"Texto ""Verdade Tropical""",1
Texarkana,1
Territorial Pissings,1
Terra,1
Tendo A Lua,1
Ten Years Gone,1
Tempos Modernos,1
Tempo Rei,1
Tease Me Please Me,1
Tears In Heaven,1
Tears Dry On Their Own,1
Tea For One,1
Tatuagem,1
"Tapa Aqui, Descobre Ali",1
Talk About The Passion,1
Take the Celestra,1
Take the Box,1
Take This Bottle,1
Take The Power,1
Tailgunner,1
Sítio Do Pica-Pau Amarelo,1
Século XXI,1
Sábado A Noite,1
Sympton of the Universe,1
"Symphony No. 41 in C Major, K. 551, ""Jupiter"": IV. Molto allegro",1
"Symphony No. 3 Op. 36 for Orchestra and Soprano ""Symfonia Piesni Zalosnych"" \ Lento E Largo - Tranquillissimo",1
Symphony No. 2: III. Allegro vivace,1
"Symphony No. 2, Op. 16 -  ""The Four Temperaments"": II. Allegro Comodo e Flemmatico",1
"Symphony No. 104 in D Major ""London"": IV. Finale: Spiritoso",1
Swing Low Sweet Chariot,1
Sweethearts Together,1
Sweet Soul Sister,1
Sweet Lady Luck,1
"Suzie-Q, Pt. 2",1
Surprise! You're Dead!,1
Super Terrorizer,1
Summer Love,1
"Suite for Solo Cello No. 1 in G Major, BWV 1007: I. Prélude",1
Suck On The Jugular,1
Suck My Kiss,1
Sua Impossivel Chance,1
Stuck With Me,1
Strutter,1
Stripsearch,1
Stranger in a Strange Land,1
Stranger In a Strange Land,1
Strange Kind Of Woman,1
Straight Out Of Line,1
Stone Free,1
Stone Crazy,1
Sting Me,1
Still Of The Night,1
Still Loving You,1
Still Life,1
Still,1
"Stay (Faraway, So Close!)",1
Stars,1
Staring At The Sun,1
Star A.D.,1
Stand Inside Your Love,1
St. Jimmy,1
Squeeze Box,1
Spread Your Wings,1
Spoonman,1
Spirit Walker,1
Spellbound,1
Spank Thru,1
"Spanish moss-""A sound portrait""-Spanish moss",1
Spanish Eyes,1
Space Truckin',1
Sozinho (Hitmakers Classic Mix),1
Sozinho (Caêdrum 'n' Bass),1
Sozinho,1
Sound of a Gun,1
Soul Singing,1
Soul Parsifal,1
Soul Education,1
Soot & Stars,1
Sons Of Freedom,1
Sonifera Ilha,1
Song For Lorraine,1
Sonata for Solo Violin: IV: Presto,1
Sometimes Salvation,1
Sometimes I Feel Like Screaming,1
Something Nice Back Home,1
Someday Never Comes,1
Some Unholy War,1
Some Kind Of Monster,1
Solo-Panhandler,1
Solitary,1
Soldado Da Paz,1
Socorro,1
Sobremesa,1
So Por Amor,1
"So Fast, So Numb",1
So Cruel,1
So Beautiful,1
Smokin' in The Boys Room,1
Smoked Pork,1
Smells Like Teen Spirit (Ao Vivo),1
Slug,1
Slowness,1
Sleep On The Sidewalk,1
Slave,1
Sister Awake,1
Sir Psycho Sexy,1
Sing Joyfully,1
Sincero Breu,1
Silver And Gold,1
Signe,1
Sick Again,1
Showcase,1
Show Me How to Live (Live at the Quart Festival),1
Shout It Out Loud,1
Shout At The Devil,1
Shotgun Blues,1
Shiny Happy People,1
Shining In The Light,1
Sheer Heart Attack,1
She Wears Black,1
Shape of Things to Come,1
Sex Type Thing,1
Severed Hand,1
Seventh Son of a Seventh Son,1
Seven Seas Of Rhye,1
Seven Minutes to Midnight,1
Seu Balancê,1
Set It Off,1
Será Que Vai Chover?,1
Será,1
Sereia,1
Sem Sentido,1
Sem Essa de Malandro Agulha,1
Seis Da Tarde,1
Segue O Seco,1
Seek And You Shall Find,1
Seek & Destroy,1
See You,1
Secrets,1
Seconds,1
Sea of Madness,1
Sea Of Sorrow,1
Se...,1
Se Liga,1
Scratch-N-Sniff,1
Scentless Apprentice,1
Scar On the Sky,1
"Say It Loud, I'm Black And I'm Proud Pt.1",1
Say Hello 2 Heaven,1
Save Me,1
Saudosismo,1
Saudosa Maloca,1
Saudade Dos Aviões Da Panair (Conversando No Bar),1
Satisfação,1
Satch Boogie,1
Sapopemba e Maxambomba,1
Sapato 36,1
Santo Antonio,1
Santana Jam,1
Santa Clara Clareou,1
Sangue De Bairro,1
San Francisco Bay Blues,1
Sampa,1
Same Ol' Situation,1
Samba pras moças,1
Samba da Bençaco,1
Samba Pra Endrigo,1
Samba Makossa,1
Samba Em Prelúdio,1
Samba Do Jato,1
Samba Da Volta,1
Sam With The Showing Scalp Flat Top,1
Salve Simpatia,1
Salve Nossa Senhora,1
Salutations,1
Saint Of Me,1
Safety Training,1
Safe and Sound,1
Sad Statue,1
"Sabbath, Bloody Sabbath",1
SKA,1
S.O.S.,1
Réu Confesso,1
Rusty Cage,1
Running Free,1
Run to the Hills,1
Run To The Hilss,1
Run Through The Jungle,1
Roxanne,1
Romeo et Juliette: No. 11 - Danse des Chevaliers,1
Romaria (Renato Teixeira),1
Romaria,1
Rollover D.J.,1
Rock The Casbah,1
Rock On,1
Rock Of Ages,1
Rock Das Aranhas (Ao Vivo) (Live),1
Rock And Roll Is Dead,1
Rock 'N' Roll Music,1
Road Trippin',1
Ro-Que-Se-Da-Ne,1
Riviera Paradise,1
River Song,1
Rita Lee,1
Rios Pontes & Overdrives,1
Rime of the Ancient Mariner,1
Right Through You,1
Right Now,1
Right Next Door to Hell,1
Ride The Lightning,1
Rhinocerous,1
Revenga,1
Restless and Wild,1
Respectable,1
"Requiem, Op.48: 4. Pie Jesu",1
Remedy,1
Relvelation (Mother Earth),1
Rehab (Hot Chip Remix),1
Reggae Tchan,1
Reggae Odoyá,1
Refazenda,1
Refavela (Live),1
Redundant,1
Red House,1
Realword,1
Realce,1
Real Thing,1
Razor,1
Rasul,1
Ramshackle Man,1
Ram It Down,1
Rag Doll,1
Radio/Video,1
Radio GA GA,1
Radio Free Aurope,1
RV,1
Querem Meu Sangue,1
Quem Mata A Mulher Mata O Melhor,1
Queixa,1
Quase Um Segundo,1
Quanta (Live),1
Quando Você Voltar,1
Puteiro Em João Pessoa,1
Put Your Lights On,1
Put Your Head Out,1
Put The Finger On You,1
Purgatory,1
Psychopomp,1
Pseudo Silk Kimono,1
Prá Dizer Adeus,1
Proud Mary,1
Protesto Do Olodum (Ao Vivo),1
"Prometheus Overture, Op. 43",1
Producer's Cut: The Return,1
Problem Child,1
Pristina,1
Principiando/Decolagem,1
Princess of the Dawn,1
Prince Charming,1
Primary,1
Primal Scream,1
Pretty Tied Up,1
Pretty Persuasion,1
Prenda Minha,1
Preciso Apender a Viver Só (Maysa),1
Praise,1
Pour Some Sugar On Me,1
Pot-Pourri N.º 5,1
Pot-Pourri N.º 4,1
Pot-Pourri N.º 2,1
"Posso Perder Minha Mulher, Minha Mãe, Desde Que Eu Tenha O Rock And Roll",1
Porch,1
Porcelain,1
Por Que Será,1
Poprocks And Coke,1
Poor Twisted Me,1
Poor Tom,1
Ponto De Interrogação,1
Ponta de Areia,1
Polícia (Vinheta),1
Poeira,1
Podres Poderes,1
Podes Crer,1
Plush,1
Please Don't Touch,1
Playtime,1
Planet Home,1
Pini Di Roma (Pinien Von Rom) \ I Pini Della Via Appia,1
Pinball Wizard,1
Pictures Of Lily,1
Pictures Of Home,1
Pick Myself Up,1
"Piano Sonata No. 14 in C Sharp Minor, Op. 27, No. 2, ""Moonlight"": I. Adagio sostenuto",1
Phantom Of The Opera,1
Persuasion,1
Perplexo,1
Perfect Circle,1
Pensamento,1
Pela Internet (Live),1
"Peer Gynt Suite No.1, Op.46: 1. Morning Mood",1
Pau-De-Arara,1
Paths Of Glory,1
"Past, Present, and Future",1
"Partita in E Major, BWV 1006A: I. Prelude",1
Parasite,1
Paranoid,1
Parallel Universe,1
Paradise City,1
Parabolicamará,1
Para Lennon E McCartney,1
Par Avion,1
Papelão,1
Papeau Nuky Doe,1
Papa's Got A Brand New Bag Pt.1,1
Panis Et Circenses,1
Panama,1
Palco,1
Palavras Ao Vento,1
Palavras,1
Paisagem Na Janela,1
Pais E Filhos,1
Pagan Baby,1
Padre Cícero,1
Ozone Baby,1
Overtime,1
Overdrive,1
Over The Hills And Far Away,1
Over And Out,1
Outshined,1
Outlaws,1
Outbreak,1
Out Ta Get Me,1
Out On The Tiles,1
Out Of Tears,1
Out Of Sight,1
Otay,1
Os Exilados,1
Os Cegos Do Castelo,1
Os Alquimistas Estão Chegando,1
Orion,1
Original Of The Species,1
Orientation,1
Opus No.1,1
Opachorô (Live),1
Only the Good Die Young,1
Only A Dream In Rio,1
Onibusfobia,1
One Step Closer,1
One Man's Meat,1
One I Want,1
One Giant Leap,1
One For The Road,1
One,1
On Mercury,1
On Fire,1
On A Plain,1
Olodum - Smile (Instrumental),1
Old Love,1
"Oh, My Love",1
Off He Goes,1
Of Wolf And Man,1
Odara,1
Oceans,1
Oceano,1
Occupation / Precipice,1
O Último Romântico (Ao Vivo),1
O Xote Das Meninas,1
O Trem Da Juventude,1
O Que Vai Em Meu Coração,1
O Que Será (À Flor Da Terra),1
O Que Me Importa,1
O Livro Dos Dias,1
O Leaozinho,1
O Dia Em Que A Terra Parou,1
O Descobridor Dos Sete Mares,1
O Cidadão Do Mundo,1
O Braço Da Minha Guitarra,1
O Boto (Bôto),1
O Bicho Tá Pregando,1
O Beco,1
O Amor Nao Sabe Esperar,1
Não Vou Lutar,1
Não Vou Ficar,1
Não Sei O Que Eu Quero Da Vida,1
Não Dá Mais Pra Segurar (Explode Coração),1
Numb,1
Now You're Gone,1
Nothingman,1
Nothing to Hide,1
Nothing To Say,1
Nothin' To Lose,1
Nosso Adeus,1
Nobody's Home,1
Nobody Knows You When You're Down & Out,1
No Way Back,1
No Prayer For The Dying,1
No One Came,1
No More Tears,1
No Memory,1
No Futuro,1
No Fundo Do Quintal Da Escola,1
Night Train,1
Night Time Is The Right Time,1
Night Of The Long Knives,1
Night Flight,1
Nico,1
Neworld,1
"New York, New York",1
New York,1
New Test Leper,1
New Love,1
Never Say Die,1
Nervosa,1
Nem Um Dia,1
Nem 5 Minutos Guardados,1
Nefertiti,1
Navegar Impreciso,1
Naked In The Rain,1
Naked In Front Of The Computer,1
Na Frente Da TV,1
N.I.B.,1
Música Urbana 2,1
Música De Trabalho,1
Mãe Terra,1
My World,1
My Time After Awhile,1
My Ship,1
My Mistake,1
My Melancholy Blues,1
My Love,1
My Kind Of Town,1
My Hero,1
My Friend Of Misery,1
Muçulmano,1
Murders In The Rue Morgue,1
Mundaréu,1
Muita Bobeira,1
Mr. Crowley,1
Mr. Brownstone,1
Mouth To Mouth,1
Moth,1
Most High,1
Morro Da Casa Verde 2001,1
Morning Glory,1
Moon germs,1
Moon Is Up,1
Monkey Wrench,1
Money,1
Momentos Que Marcam,1
Molina,1
Mofo,1
Moby Dick,1
Mistério da Raça,1
Misty Mountain Hop,1
Miss Sarajevo,1
Miracle To Me,1
Minority,1
Minha Namorada,1
Minha Historia,1
Millenium,1
Midnight Cowboy,1
Midnight,1
Michael's Birthday,1
Meu Refrigerador Não Funciona,1
Meu Mundo Fica Completo (Com Você),1
Meu Guarda-Chuva,1
Metrô. Linha 743,1
"Metopes, Op. 29: Calypso",1
Metal Militia,1
Metal Meltdown,1
Message in a Bottle (new classic rock mix),1
Meninos E Meninas,1
Menino Do Rio,1
Mellowship Slinky In B Major,1
Meet Kevin Johnson,1
Medo De Escuro,1
Mean Disposition,1
Me Liga,1
Me In Honey,1
Me Deixas Louca,1
Me & Mr. Jones,1
May This Be Love,1
Mateus Enter,1
Mas Que Nada,1
Marvin,1
"Maria, Maria",1
Maria Rosa,1
Maria Maria,1
Maria Fumaça,1
Maria,1
Maracatu De Tiro Certeiro,1
Maracatu Atômico [Trip Hop],1
Maracatu Atômico,1
Maquinarama,1
Manuel,1
Manifest Destiny,1
Mangueira,1
"Man of Science, Man of Faith (Premiere)",1
Man With The Woman Head,1
Man On The Edge,1
Mama Said,1
Mama Africa,1
Maluco Beleza,1
Malpractice,1
Make Me Believe,1
Magnetic Ocean,1
Magic Bus,1
Madalena,1
Macy's Day Parade,1
Mack The Knife,1
Machine Men,1
MFC,1
Luis Inacio (300 Picaretas),1
Lucky 13,1
Low Man's Lyric,1
Low,1
Loving You Sunday Morning,1
Love Rescue Me,1
Love Removal Machine,1
Love Of My Life,1
Love Is Strong,1
Love Is Blindness,1
Love In An Elevator,1
Love Gun,1
Love Don't Mean a Thing,1
Love Conquers All,1
Love Comes,1
Love Child,1
Love And Peace Or Else,1
Love,1
Loud Love,1
Lost in Hollywood,1
Lost Survival Guide,1
"Lost Planet of the Gods, Pt. 2",1
"Lost Planet of the Gods, Pt. 1",1
Losing My Religion,1
Losfer Words,1
Lords of Karma,1
Lord of Light,1
Lord Of The Flies,1
Looking For Love,1
Longview,1
Long Tall Sally,1
Long As I Can See The Light,1
Lodi,1
Livre Pra Viver,1
Living In America,1
Livin' On The Edge,1
Live and Let Die,1
"Live Together, Die Alone, Pt. 1",1
Live To Win,1
Little Linda,1
Little Guitars (Intro),1
Little Guitars,1
Linha Do Horizonte,1
Lindo Lago Do Amor,1
Lilás,1
Lil' Evil,1
Like a Stone,1
Like A Song...,1
Ligia,1
Lightning Strikes Twice,1
Life Line,1
Life During Wartime,1
Lick It Up,1
Levada do Amor (Ailoviu),1
Letterbomb,1
Let's See Action,1
Let Me Off Uptown,1
Let It Grow,1
Lemon,1
Leila,1
Leave,1
Leash,1
Leandro De Itaquera 2001,1
Lazy Gun,1
Lavadeira,1
Last Night On Earth,1
Last Caress/Green Hell,1
Lanterna Dos Afogados,1
Lamento Sertanejo,1
Lament,1
Laguna Sunrise,1
La Puesta Del Sol,1
La Bella Luna,1
Know Your Rights,1
Knocking At Your Back Door,1
Knockin On Heavens Door,1
King Of Pain,1
King Of Dreams,1
King Nothing,1
King In Crimson,1
Kindergarten,1
Killing Floor,1
Kickstart My Heart,1
"Karelia Suite, Op.11: 2. Ballade (Tempo Di Menuetto)",1
KKK Bitch,1
Just Friends,1
Just Ain't Good Enough,1
"Jupiter, the Bringer of Jollity",1
Jungle Drums,1
Jump In The Fire,1
Jump,1
Juazeiro,1
Journey To Arnhemland,1
Jorge Da Capadócia,1
Join Together,1
Ji Yeon,1
Jesus Of Suburbia / City Of The Damned / I Don't Care / Dearly Beloved / Tales Of Another Broken Home,1
Jesus Christ Pose,1
Jerusalem,1
Jeru,1
Jeito Faceiro,1
Jean Pierre (Live),1
Jealous Guy,1
Janie's Got A Gun,1
Jailbait,1
Jah Seh No,1
Jaded,1
Jacob's Ladder,1
Ito Okashi,1
It's a Mistake,1
It's Too Funky In Here,1
