Name,tot_albums,below_above_album_avg
Frank Sinatra,1,AVERAGE
"Felix Schmidt, London Symphony Orchestra & Rafael Frühbeck de Burgos",1,AVERAGE
Falamansa,1,AVERAGE
"Equale Brass Ensemble, John Eliot Gardiner & Munich Monteverdi Orchestra and Choir",1,AVERAGE
Emerson String Quartet,1,AVERAGE
"Emanuel Ax, Eugene Ormandy & Philadelphia Orchestra",1,AVERAGE
Elis Regina,1,AVERAGE
Edo de Waart & San Francisco Symphony,1,AVERAGE
Ed Motta,1,AVERAGE
Dread Zeppelin,1,AVERAGE
Dennis Chambers,1,AVERAGE
Def Leppard,1,AVERAGE
David Coverdale,1,AVERAGE
Cláudio Zoli,1,AVERAGE
Christopher O'Riley,1,AVERAGE
Chris Cornell,1,AVERAGE
"Chor der Wiener Staatsoper, Herbert Von Karajan & Wiener Philharmoniker",1,AVERAGE
Choir Of Westminster Abbey & Simon Preston,1,AVERAGE
Chico Buarque,1,AVERAGE
Chicago Symphony Orchestra & Fritz Reiner,1,AVERAGE
"Chicago Symphony Chorus, Chicago Symphony Orchestra & Sir Georg Solti",1,AVERAGE
Charles Dutoit & L'Orchestre Symphonique de Montréal,1,AVERAGE
Calexico,1,AVERAGE
Cake,1,AVERAGE
"C. Monteverdi, Nigel Rogers - Chiaroscuro; London Baroque; London Cornett & Sackbu",1,AVERAGE
Buddy Guy,1,AVERAGE
Bruce Dickinson,1,AVERAGE
"Britten Sinfonia, Ivor Bolton & Lesley Garrett",1,AVERAGE
Boston Symphony Orchestra & Seiji Ozawa,1,AVERAGE
Body Count,1,AVERAGE
Billy Cobham,1,AVERAGE
"Berliner Philharmoniker, Claudio Abbado & Sabine Meyer",1,AVERAGE
Berliner Philharmoniker & Hans Rosbaud,1,AVERAGE
Battlestar Galactica (Classic),1,AVERAGE
Barry Wordsworth & BBC Concert Orchestra,1,AVERAGE
BackBeat,1,AVERAGE
Aquaman,1,AVERAGE
Apocalyptica,1,AVERAGE
Antal Doráti & London Symphony Orchestra,1,AVERAGE
"Anne-Sophie Mutter, Herbert Von Karajan & Wiener Philharmoniker",1,AVERAGE
Alice In Chains,1,AVERAGE
Alberto Turco & Nova Schola Gregoriana,1,AVERAGE
Alanis Morissette,1,AVERAGE
Aisha Duo,1,AVERAGE
Aerosmith,1,AVERAGE
Adrian Leaper & Doreen de Feis,1,AVERAGE
"Academy of St. Martin in the Fields, Sir Neville Marriner & Thurston Dart",1,AVERAGE
"Academy of St. Martin in the Fields, John Birch, Sir Neville Marriner & Sylvia McNair",1,AVERAGE
Academy of St. Martin in the Fields Chamber Ensemble & Sir Neville Marriner,1,AVERAGE
Academy of St. Martin in the Fields & Sir Neville Marriner,1,AVERAGE
Aaron Goldberg,1,AVERAGE
Aaron Copland & London Symphony Orchestra,1,AVERAGE
